X,Y
0.452486,0.765045
0.452525,0.765044
0.452563,0.765044
0.452601,0.765043
0.45264,0.765042
0.452678,0.765041
0.452716,0.76504
0.452755,0.765038
0.452793,0.765036
0.452831,0.765034
0.452869,0.765032
0.452907,0.765029
0.452945,0.765027
0.452983,0.765024
0.45302,0.76502
0.453058,0.765017
0.453096,0.765013
0.453133,0.765009
0.453171,0.765005
0.453208,0.765001
0.453246,0.764996
0.453283,0.764991
0.453321,0.764986
0.453358,0.764981
0.453395,0.764975
0.453432,0.764969
0.453469,0.764963
0.453506,0.764957
0.453543,0.764951
0.45358,0.764944
0.453617,0.764937
0.453654,0.76493
0.453691,0.764923
0.453727,0.764915
0.453764,0.764907
0.4538,0.764899
0.453837,0.764891
0.453873,0.764882
0.45391,0.764874
0.453946,0.764865
0.453982,0.764855
0.454019,0.764846
0.454055,0.764836
0.454091,0.764826
0.454127,0.764816
0.454163,0.764806
0.454199,0.764795
0.454235,0.764784
0.45427,0.764773
0.454306,0.764762
0.454342,0.76475
0.454378,0.764739
0.454413,0.764727
0.454449,0.764715
0.454484,0.764702
0.454519,0.764689
0.454555,0.764677
0.45459,0.764663
0.454625,0.76465
0.45466,0.764636
0.454695,0.764623
0.45473,0.764609
0.454765,0.764594
0.4548,0.76458
0.454835,0.764565
0.454869,0.76455
0.454904,0.764535
0.454938,0.76452
0.454973,0.764504
0.455007,0.764489
0.455041,0.764473
0.455075,0.764457
0.455109,0.76444
0.455143,0.764423
0.455177,0.764407
0.455211,0.76439
0.455244,0.764372
0.455278,0.764355
0.455311,0.764337
0.455344,0.764319
0.455378,0.764301
0.455411,0.764283
0.455444,0.764264
0.455477,0.764246
0.455509,0.764227
0.455542,0.764208
0.455574,0.764188
0.455607,0.764169
0.455639,0.764149
0.455671,0.764129
0.455703,0.764109
0.455735,0.764089
0.455767,0.764068
0.455798,0.764047
0.45583,0.764026
0.455861,0.764005
0.455892,0.763984
0.455923,0.763962
0.455954,0.763941
0.455985,0.763919
0.456016,0.763897
0.456046,0.763874
0.456077,0.763852
0.456107,0.763829
0.456137,0.763806
0.456167,0.763783
0.456197,0.76376
0.456226,0.763736
0.456256,0.763713
0.456285,0.763689
0.456314,0.763665
0.456343,0.763641
0.456372,0.763616
0.456401,0.763592
0.456429,0.763567
0.456458,0.763542
0.456486,0.763517
0.456514,0.763492
