X,Y
0.9314,-0.364245
0.929093,-0.370093
0.926749,-0.375926
0.924368,-0.381743
0.921951,-0.387546
0.919497,-0.393333
0.917007,-0.399104
0.91448,-0.404859
0.911918,-0.410597
0.909318,-0.41632
0.906683,-0.422025
0.904012,-0.427713
0.901305,-0.433384
0.898561,-0.439038
0.895782,-0.444674
0.892967,-0.450291
0.890116,-0.455891
0.887229,-0.461472
0.884306,-0.467034
0.881348,-0.472577
0.878355,-0.478101
0.875325,-0.483606
0.872261,-0.489091
0.869161,-0.494555
0.866025,-0.5
0.862855,-0.505424
0.859649,-0.510828
0.856409,-0.516211
0.853133,-0.521572
0.849824,-0.526913
0.84648,-0.532233
0.843102,-0.537531
0.83969,-0.542807
0.836244,-0.548062
0.832764,-0.553295
0.829252,-0.558505
0.825706,-0.563694
0.822127,-0.568859
0.818515,-0.574003
0.814871,-0.579123
0.811194,-0.584221
0.807485,-0.589296
0.803744,-0.594347
0.799971,-0.599375
0.796167,-0.604379
0.792331,-0.60936
0.788463,-0.614317
0.784565,-0.619249
0.780636,-0.624157
0.776676,-0.629041
0.772685,-0.633901
0.768664,-0.638736
0.764613,-0.643545
0.760533,-0.64833
0.756422,-0.653089
0.752282,-0.657824
0.748112,-0.662532
0.743913,-0.667215
0.739685,-0.671872
0.735429,-0.676503
0.731143,-0.681107
0.726829,-0.685686
0.722488,-0.690237
0.718117,-0.694762
0.71372,-0.69926
0.709294,-0.703732
0.704841,-0.708175
0.70036,-0.712592
0.695853,-0.716981
0.691319,-0.721342
0.686757,-0.725676
0.68217,-0.729981
0.677556,-0.734258
0.672915,-0.738507
0.668249,-0.742727
0.663557,-0.746919
0.65884,-0.751082
0.654097,-0.755216
0.649329,-0.75932
0.644535,-0.763396
0.639717,-0.767441
0.634875,-0.771457
0.630007,-0.775444
0.625116,-0.7794
0.6202,-0.783326
0.615261,-0.787222
0.610298,-0.791087
0.605311,-0.794921
0.600301,-0.798725
0.595268,-0.802498
0.590212,-0.806239
0.585134,-0.80995
0.580032,-0.813628
0.574909,-0.817276
0.569763,-0.820891
0.564595,-0.824474
0.559405,-0.828025
0.554194,-0.831544
0.548961,-0.835031
0.543707,-0.838484
0.538432,-0.841905
0.533136,-0.845293
0.52782,-0.848648
0.522483,-0.85197
0.517125,-0.855258
0.511748,-0.858512
0.506351,-0.861733
0.500934,-0.86492
0.495497,-0.868072
0.490041,-0.871191
0.484566,-0.874275
0.479072,-0.877324
0.473559,-0.880338
0.468028,-0.883318
0.462478,-0.886262
0.45691,-0.889171
0.451324,-0.892045
0.445721,-0.894883
0.440099,-0.897685
0.43446,-0.900452
0.428804,-0.903182
0.423131,-0.905876
0.417441,-0.908534
0.411734,-0.911155
