X,Y
0.70148,0.589308
0.701518,0.589308
0.701557,0.589307
0.701595,0.589307
0.701634,0.589306
0.701672,0.589304
0.70171,0.589303
0.701748,0.589301
0.701787,0.5893
0.701825,0.589297
0.701863,0.589295
0.701901,0.589293
0.701939,0.58929
0.701976,0.589287
0.702014,0.589284
0.702052,0.58928
0.70209,0.589276
0.702127,0.589272
0.702165,0.589268
0.702202,0.589264
0.70224,0.589259
0.702277,0.589254
0.702314,0.589249
0.702352,0.589244
0.702389,0.589238
0.702426,0.589233
0.702463,0.589227
0.7025,0.58922
0.702537,0.589214
0.702574,0.589207
0.702611,0.5892
0.702648,0.589193
0.702684,0.589186
0.702721,0.589178
0.702758,0.58917
0.702794,0.589162
0.702831,0.589154
0.702867,0.589146
0.702904,0.589137
0.70294,0.589128
0.702976,0.589119
0.703012,0.589109
0.703049,0.589099
0.703085,0.58909
0.703121,0.589079
0.703157,0.589069
0.703193,0.589058
0.703229,0.589048
0.703264,0.589037
0.7033,0.589025
0.703336,0.589014
0.703371,0.589002
0.703407,0.58899
0.703442,0.588978
0.703478,0.588965
0.703513,0.588953
0.703549,0.58894
0.703584,0.588927
0.703619,0.588913
0.703654,0.5889
0.703689,0.588886
0.703724,0.588872
0.703759,0.588858
0.703794,0.588843
0.703828,0.588829
0.703863,0.588814
0.703898,0.588799
0.703932,0.588783
0.703966,0.588768
0.704001,0.588752
0.704035,0.588736
0.704069,0.58872
0.704103,0.588703
0.704137,0.588687
0.704171,0.58867
0.704204,0.588653
0.704238,0.588636
0.704272,0.588618
0.704305,0.5886
0.704338,0.588583
0.704371,0.588564
0.704405,0.588546
0.704437,0.588528
0.70447,0.588509
0.704503,0.58849
0.704536,0.588471
0.704568,0.588452
0.704601,0.588432
0.704633,0.588412
0.704665,0.588392
0.704697,0.588372
0.704729,0.588352
0.704761,0.588331
0.704792,0.588311
0.704824,0.58829
0.704855,0.588268
0.704886,0.588247
0.704917,0.588226
0.704948,0.588204
0.704979,0.588182
0.70501,0.58816
0.70504,0.588138
0.70507,0.588115
0.705101,0.588092
0.705131,0.588069
0.705161,0.588046
0.70519,0.588023
0.70522,0.588
0.70525,0.587976
0.705279,0.587952
0.705308,0.587928
0.705337,0.587904
0.705366,0.58788
0.705395,0.587855
0.705423,0.58783
0.705451,0.587806
0.70548,0.587781
0.705508,0.587755
0.705536,0.58773
0.705563,0.587704
0.705591,0.587678
0.705618,0.587653
0.705645,0.587626
0.705673,0.5876
0.705699,0.587574
0.705726,0.587547
0.705753,0.58752
0.705779,0.587493
0.705805,0.587466
0.705831,0.587439
0.705857,0.587411
0.705883,0.587384
0.705909,0.587356
0.705934,0.587328
0.705959,0.5873
0.705984,0.587272
0.706009,0.587243
0.706034,0.587215
0.706058,0.587186
0.706082,0.587157
0.706106,0.587128
0.70613,0.587099
0.706154,0.58707
0.706178,0.58704
0.706201,0.587011
0.706224,0.586981
0.706247,0.586951
0.70627,0.586921
0.706293,0.586891
0.706315,0.586861
0.706337,0.58683
0.706359,0.586799
0.706381,0.586769
0.706403,0.586738
0.706424,0.586707
0.706446,0.586676
0.706467,0.586644
0.706487,0.586613
0.706508,0.586581
0.706529,0.58655
0.706549,0.586518
0.706569,0.586486
0.706589,0.586454
0.706609,0.586422
0.706628,0.586389
0.706647,0.586357
0.706666,0.586324
0.706685,0.586292
0.706704,0.586259
0.706722,0.586226
0.706741,0.586193
0.706759,0.58616
0.706776,0.586126
0.706794,0.586093
0.706811,0.58606
0.706829,0.586026
0.706846,0.585992
0.706862,0.585958
0.706879,0.585925
0.706895,0.585891
0.706911,0.585856
0.706927,0.585822
0.706943,0.585788
0.706959,0.585753
0.706974,0.585719
0.706989,0.585684
0.707004,0.58565
0.707018,0.585615
0.707033,0.58558
0.707047,0.585545
0.707061,0.58551
0.707075,0.585475
0.707088,0.58544
0.707102,0.585404
0.707115,0.585369
0.707128,0.585333
0.70714,0.585298
0.707153,0.585262
0.707165,0.585227
0.707177,0.585191
0.707189,0.585155
0.7072,0.585119
0.707211,0.585083
0.707222,0.585047
0.707233,0.585011
0.707244,0.584974
0.707254,0.584938
0.707264,0.584902
0.707274,0.584865
0.707284,0.584829
0.707293,0.584792
0.707303,0.584756
0.707311,0.584719
0.70732,0.584682
0.707329,0.584646
0.707337,0.584609
0.707345,0.584572
0.707353,0.584535
0.707361,0.584498
0.707368,0.584461
0.707375,0.584424
0.707382,0.584387
0.707389,0.58435
0.707395,0.584313
0.707401,0.584275
0.707407,0.584238
0.707413,0.584201
0.707418,0.584163
0.707424,0.584126
0.707429,0.584089
0.707434,0.584051
0.707438,0.584014
0.707442,0.583976
0.707447,0.583939
0.70745,0.583901
0.707454,0.583864
0.707457,0.583826
0.707461,0.583789
0.707463,0.583751
0.707466,0.583713
0.707469,0.583676
0.707471,0.583638
0.707473,0.5836
0.707474,0.583563
0.707476,0.583525
0.707477,0.583487
0.707478,0.583449
0.707479,0.583412
0.70748,0.583374
0.70748,0.583336
0.70748,0.583299
0.70748,0.583261
0.707479,0.583223
0.707479,0.583185
0.707478,0.583148
0.707477,0.58311
0.707475,0.583072
0.707474,0.583034
0.707472,0.582997
0.70747,0.582959
0.707467,0.582921
0.707465,0.582884
0.707462,0.582846
0.707459,0.582809
0.707456,0.582771
0.707452,0.582733
0.707448,0.582696
0.707444,0.582658
0.70744,0.582621
0.707436,0.582583
0.707431,0.582546
0.707426,0.582508
0.707421,0.582471
0.707416,0.582434
0.70741,0.582396
0.707404,0.582359
0.707398,0.582322
0.707392,0.582285
0.707385,0.582248
0.707378,0.58221
0.707371,0.582173
0.707364,0.582136
0.707357,0.582099
0.707349,0.582062
0.707341,0.582025
0.707333,0.581989
0.707324,0.581952
0.707316,0.581915
0.707307,0.581878
0.707298,0.581842
0.707289,0.581805
0.707279,0.581769
0.707269,0.581732
0.707259,0.581696
0.707249,0.58166
0.707238,0.581623
0.707228,0.581587
0.707217,0.581551
0.707206,0.581515
0.707194,0.581479
0.707183,0.581443
0.707171,0.581407
0.707159,0.581371
0.707146,0.581336
0.707134,0.5813
0.707121,0.581265
0.707108,0.581229
0.707095,0.581194
0.707082,0.581159
0.707068,0.581123
0.707054,0.581088
0.70704,0.581053
0.707026,0.581018
0.707011,0.580984
0.706997,0.580949
0.706982,0.580914
0.706966,0.58088
0.706951,0.580845
0.706935,0.580811
0.70692,0.580777
0.706904,0.580742
0.706887,0.580708
0.706871,0.580674
0.706854,0.580641
0.706837,0.580607
0.70682,0.580573
0.706803,0.58054
0.706785,0.580506
0.706768,0.580473
0.70675,0.58044
0.706732,0.580407
0.706713,0.580374
0.706695,0.580341
0.706676,0.580308
0.706657,0.580275
0.706638,0.580243
0.706618,0.58021
0.706599,0.580178
0.706579,0.580146
0.706559,0.580114
0.706539,0.580082
0.706519,0.58005
0.706498,0.580019
0.706477,0.579987
0.706456,0.579956
0.706435,0.579925
0.706414,0.579894
0.706392,0.579863
0.70637,0.579832
0.706348,0.579801
