X,Y
0.624204,0.40347
0.623677,0.402785
0.623148,0.402104
0.622616,0.401427
0.622082,0.400754
0.621546,0.400084
0.621007,0.399419
0.620465,0.398758
0.619921,0.3981
0.619375,0.397447
0.618826,0.396798
0.618275,0.396152
0.617721,0.39551
0.617166,0.394873
0.616607,0.394239
0.616047,0.393609
0.615484,0.392984
0.614918,0.392362
0.614351,0.391744
0.613781,0.39113
0.613209,0.39052
0.612634,0.389915
0.612058,0.389313
0.611479,0.388715
0.610897,0.388121
0.610314,0.387531
0.609728,0.386945
0.60914,0.386363
0.60855,0.385785
0.607958,0.385211
0.607364,0.384641
0.606767,0.384075
0.606168,0.383513
0.605568,0.382956
0.604965,0.382402
0.60436,0.381852
0.603753,0.381305
0.603143,0.380763
0.602532,0.380225
0.601919,0.37969
0.601304,0.37916
0.600687,0.378633
0.600068,0.37811
0.599447,0.377591
0.598825,0.377075
0.5982,0.376563
0.597573,0.376055
0.596945,0.375551
0.596315,0.37505
0.595683,0.374553
0.595049,0.374059
0.594414,0.373569
0.593777,0.373083
0.593138,0.3726
0.592497,0.37212
0.591855,0.371645
0.591211,0.371172
0.590566,0.370703
0.589918,0.370238
0.58927,0.369776
0.588619,0.369317
0.587968,0.368862
0.587314,0.36841
0.586659,0.367961
0.586003,0.367516
0.585345,0.367074
0.584686,0.366636
0.584026,0.3662
0.583363,0.365768
0.5827,0.365339
0.582035,0.364913
0.581369,0.36449
0.580702,0.364071
0.580033,0.363654
0.579363,0.363241
0.578692,0.36283
0.578019,0.362423
0.577346,0.362019
0.576671,0.361618
0.575995,0.361219
0.575317,0.360824
0.574639,0.360432
0.57396,0.360042
0.573279,0.359656
0.572597,0.359272
0.571914,0.358892
0.571231,0.358515
0.570546,0.358142
0.569859,0.357771
0.569172,0.357404
0.568484,0.357041
0.567795,0.356681
0.567104,0.356324
0.566413,0.355972
0.56572,0.355622
0.565026,0.355277
0.564331,0.354936
0.563636,0.354598
0.562939,0.354265
0.562241,0.353935
0.561542,0.35361
0.560842,0.353288
0.560141,0.352971
0.559438,0.352658
0.558735,0.35235
0.558031,0.352046
0.557326,0.351746
0.556619,0.351451
0.555912,0.351161
0.555204,0.350875
0.554494,0.350594
0.553784,0.350318
0.553072,0.350046
0.55236,0.34978
0.551646,0.349518
0.550932,0.349262
0.550216,0.349011
0.5495,0.348764
0.548782,0.348523
0.548064,0.348288
0.547345,0.348057
0.546624,0.347833
0.545903,0.347613
0.54518,0.347399
0.544457,0.347191
0.543733,0.346989
0.543007,0.346792
0.542281,0.346601
0.541554,0.346416
0.540826,0.346236
0.540096,0.346063
0.539366,0.345896
0.538635,0.345735
0.537903,0.34558
0.53717,0.34543
0.536437,0.345287
0.535702,0.345149
0.534967,0.345016
0.534231,0.344889
0.533494,0.344768
0.532756,0.344651
0.532018,0.34454
0.531279,0.344434
0.53054,0.344332
0.5298,0.344236
0.529059,0.344144
0.528318,0.344057
0.527576,0.343974
0.526834,0.343895
0.526091,0.343821
0.525348,0.343751
0.524604,0.343686
0.52386,0.343624
0.523116,0.343566
0.522371,0.343512
0.521626,0.343461
0.520881,0.343414
0.520135,0.343371
0.51939,0.343331
0.518644,0.343294
0.517898,0.34326
0.517151,0.34323
0.516405,0.343202
0.515659,0.343177
0.514912,0.343155
0.514166,0.343136
0.513419,0.343119
0.512673,0.343105
0.511926,0.343093
0.51118,0.343083
0.510434,0.343075
0.509688,0.34307
0.508942,0.343066
0.508196,0.343064
0.507451,0.343064
0.506706,0.343065
0.505961,0.343068
0.505216,0.343072
0.504472,0.343078
0.503728,0.343085
0.502985,0.343093
0.502241,0.343102
0.501499,0.343112
0.500756,0.343123
0.500015,0.343135
0.499273,0.343148
0.498532,0.343163
0.497791,0.343178
0.49705,0.343195
0.49631,0.343214
0.495569,0.343234
0.494829,0.343255
0.49409,0.343278
0.49335,0.343303
0.49261,0.343329
0.491871,0.343357
0.491132,0.343387
0.490392,0.343419
0.489653,0.343453
0.488914,0.343488
0.488174,0.343526
0.487435,0.343566
0.486696,0.343608
0.485956,0.343652
0.485217,0.343699
0.484477,0.343748
0.483737,0.343799
0.482997,0.343853
0.482257,0.343909
0.481516,0.343968
0.480776,0.34403
0.480034,0.344094
0.479293,0.344161
0.478551,0.344231
0.477809,0.344304
0.477067,0.34438
0.476324,0.344459
0.475581,0.344541
0.474837,0.344626
0.474093,0.344714
0.473348,0.344805
0.472603,0.3449
0.471858,0.344998
0.471111,0.3451
0.470364,0.345205
0.469617,0.345313
0.468869,0.345426
0.46812,0.345542
